address,balance
0x8772f0c90bdbe7456a55b7e19f48d44b54874adf,1345000000000
0xa3e722168443c32f1635e7d4d76eaf1fd6ec5e01,737300000000
0xbad4a8b16d92487a9356eb550f22ae920c3f9c2c,200000000
0x43369afc601f3227a043da700482e079918b93d9,246200000000
0x241a21b9048a4b963741d2074bcc51a5a625b816,739300000000
0x0f6975a059ed5cb2123352991e71e6b7cb160aea,100000000
0x14b35f674ecea187bbc11fdd7b1293d988043fea,102700000000
0x6b03132304385fd5ac4175d4e15ff0e932e6d17e,100000000
0x1ca705b35a727812144c83445abd785f09817c8d,46800000000
0x17c82db751aabd5398b9e29b5678d40c5e314e6d,46600000000
0xd1b5f431d9752d3e2cce17a50984e2bbc2397cde,36000000000
0x4d1058cafd4c56748cee81792b27f9d3550b6f88,301800000000
0x0648cff195971052c9bd57ef0dce91ada3b99762,10000000000
0x44c0b2c372c7d87911508b35669f36d8d759176e,484000000000
0x234de294a93d95c8fb8ab864058834af7b027569,102900000000
0x448b323253c24814b0262390fc1f999d7cc22f85,722000000000
0x8202a87377416e4166e0ff4c81189ceb989211c2,2560000000000
0x348acb2ecc6ee6aeaa1987025bc9eaa606e4dfd9,110200000000
0x9230992164e8dc36feb4a7eadb943ad45797f944,900700000000
0x3cc71d77f57051981240981c98a98dbeabaade7a,119800000000
0x1dfef47b00bc60b649625282caf4bbc2617e6a35,399500000000
0x6b160c28e2ff0ca6ae6a7533340d6e78089297c7,155000000000
0xb0e36d23c77c9d27ca3c68dcdc50878a857b9ef5,1397300000000
0xd8810919e6131e38d053a6bdafeb9bcf64503cf2,1599600000000
0xe8177140ac06bc4344fa4ce84610802f86defec3,800000000
0x5236969b17fb6f2f7cf5a53f74f4f6b469227646,45100000000
0x680ea1710c577be6c807d62ce103afb226a4aef4,7300000000
0xa344d8cead485c9f5792ca86ad4cced3ca3bc27a,1283300000000
0x105a36492676db17d132eb6aa469a1a407b1ba5c,559000000000
0x463506caa047dacb2553f47dc436a66b4a6990c6,96300000000
0x8cced82f203c6252957c7b9294eba9f7bfb4a768,558300000000
0xe2c1a45030c44de0644fd68103639578a8bceead,783200000000
0xad130e57e130eb656005de4e6e81b92fc1e42350,750000000000
0xb73425ce26541cdd3044f63e37d0a52ac763914c,125300000000
0x982f39dca49118dc0723509a0774d9bffb1071c5,20900000000
0x9f975802ece05dc4fec80886bb1294581cdc3a43,124800000000
0x6fa3f2971b7c7975b5a09fc679ce985d7deed38b,2189900000000
0x4553268b8749e7bdb68fe9bbbdf9798e94ae613c,541200000000
0x8a608d55114c032a3d69ffb2be3dc9316b954f52,179700000000
0x5f626007200cba7e23c9dc3b1456e0da5ed3db72,178400000000
0xacfecfa3c06a8b160c934c4f3cb966ac2cec15cb,180900000000
0xcea503e797a45f9b4bcfdfea4cac04f21457847c,124800000000
0x08c25a5e2b3db95e60ae6f1f914a4c7f1d694d71,177500000000
0x74635f17cdfeb91f1c89a6df53d2b45e099b7cc2,183600000000
0x8a07f6f9b900611e8b6089dc117cf258e8bd96c4,131000000000
0x4a824aaa164b1d95c7c9e646d0647a608affc8bd,182800000000
0xd443b1f44d118265ec914bb030fc434cb222dce8,315900000000
0x8b9e3b17b51d2266ecd21341adcf5d6ac526ee3b,179400000000
0x254443e4a4e2d39e2a6387af79f6368388b0eeea,178500000000
0x8728c811f93eb6ac47d375e6a62df552d62ed284,1500000000
0x688a23ef480806d21d9af0ec1f95277095388888,69500000000
0xcac04b977141ff2843bb6de5a5128013dbe0651e,93600000000
0x38495102683c30ddf19bcbb44ad805e44ba99564,92600000000
0x9ac8b58b2095345cc3d8959ecc812f0085b4d130,92100000000
0xe0e5db6b9c937e803aca045d5943db20036fa3a8,4042100000000
0x49d7afbe9f4f22a415b844ef08b4b96634048f4c,886700000000
0xf7ec068a529887af745e8b7c01a5fe7810c8a2c1,7900000000
0x59cd859e90da6bd7a8451b2aef268196fabcd280,1000000000
0x6a5fbeb1867573a47d789e4484aa0806121d258b,415600000000
0xcec8a7799f01975aafef5190c335adc83d33770d,574700000000
0x300d03fdae3286123d0b1067e879f83d97d3a174,100000000
0xb0ed408c24ddcfda6ac695e2c58afe897605d4bd,7900000000
0x4aac339fc2c2cdad207e3f42aef1e793bdfaee46,100000000
0x1102b61eab3b57d67944bb4ce463756f8d8c6805,444000000000
0x0b1abf7e0a62bda60cc4c72004f25e8d71ecaf6b,445500000000
0x989f6aaf0fa50f69aa5f79451bf12d104093eb41,447000000000
0x89fc4d721fbbb716245a6ee7295390b04560f431,441300000000
0x57d75af2dbe9a66b9fec03c9dc6311554a4727a6,451900000000
0xac18afd3a80d42cb47944a4d6dbc4a6ea2e90ad2,445600000000
0x3d65c6e3b14705d9839f019c78a5639e5b83136e,451600000000
0x484af47f9a384c7519501501c1bef0b6aef56611,453900000000
0xf795ffde776a68c316aeeba935c07740934a192a,448400000000
0x7e2af6fdd6246f5ef27929a87991394974f8b8ad,446800000000
0xb63f9486146c8af33df6a88c873cc4430f95c5c1,447500000000
0x329f4ff020a92f16e5b0766032419cd9eb32db4e,444300000000
0x03cd9d479d2c0fa344147da56de912fa5b95484e,445200000000
0xeed792bd681cc09ea0274d17755c5cbc7e35cebd,448500000000
0xd260d41174fea3f2e5eeab169b0e3c5939b55578,451000000000
0x58d71879d302af740679bc3f4c757bd2be22efdd,448300000000
0x79eefcdf2b66f4fc510e25ad76d3766b6930b2e0,445300000000
0xbdb1fabd11e6120c4a37d76afd47b3d9795c6c41,443500000000
0x98c406915176329b2d85267efd03ec8011a31fda,464900000000
0xf9fe061ed59943b638e0bc5b73388b280ddbb853,2900000000
0xe566bbfa2b6f1d42564b0011a238cd69391ef747,300000000
0x33727c5f677b1946b35d5f646da2c059124ddbd9,159000000000
0xe3b4ba1ff4cf91fe6fe7605036f9de7f06a4646f,85100000000
0x3e917eadd649784aafbeb5cf4c9132fce42f9f90,1500000000
